VPUT v1.5 (CP/M 3) - G. Roberts.  Using USB ports: 331,332
D:VUCPM3.C            22,528 bytes --> VUCPM3.C     : 3 sec. ( 7,509 BPS)
D:PRINTF.C             6,144 bytes --> PRINTF.C     : 1 sec. ( 6,144 BPS)
D:SPDSBC.C             1,536 bytes --> SPDSBC.C     : 1 sec. ( 1,536 BPS)
D:STDLIB.C            10,240 bytes --> STDLIB.C     : 2 sec. ( 5,120 BPS)
D:FPRINTF.C            7,808 bytes --> FPRINTF.C    : 1 sec. ( 7,808 BPS)
D:MATHLIB.C            5,376 bytes --> MATHLIB.C    : 1 sec. ( 5,376 BPS)
D:SEEK.C               6,016 bytes --> SEEK.C       : 1 sec. ( 6,016 BPS)
D:CLIBIO.C            26,368 bytes --> CLIBIO.C     : 4 sec. ( 6,592 BPS)
D:VGET12.C             4,096 bytes --> VGET12.C     : 1 sec. ( 4,096 BPS)
D:VGET3.C              5,888 bytes --> VGET3.C      : 1 sec. ( 5,888 BPS)
D:VTALK3.C             4,096 bytes --> VTALK3.C     : 1 sec. ( 4,096 BPS)
D:VPTEST.C             4,864 bytes --> VPTEST.C     : 1 sec. ( 4,864 BPS)
D:VGTEST.C             5,632 bytes --> VGTEST.C     : 1 sec. ( 5,632 BPS)
D:VTTEST.C             4,096 bytes --> VTTEST.C     : 1 sec. ( 4,096 BPS)
D:COMMAND.C            2,176 bytes --> COMMAND.C    : 1 sec. ( 2,176 BPS)
D:VPUT3.C              8,192 bytes --> VPUT3.C      : 1 sec. ( 8,192 BPS)
D:CMDTST.C               512 bytes --> CMDTST.C     : 1 sec. (   512 BPS)
D:TESTD.C              2,304 bytes --> TESTD.C      : 1 sec. ( 2,304 BPS)
